location,used
"Antrim Lake, Columbus",4
"Beck St, Columbus",1 4
"Big Island, Ohio",0
Blendon Woods Metro Park,4
"Chestnut Ridge Metro Park, Columbus",4
"Clear Creek Metro Park, Ohio",0
"Clifton Gorge, Ohio",0
Columbus,4
"Confluence, Columbus",1 4
"Darby Creek Metro Park, Columbus",4
Dawes Arboretum,4
"Gahanna Woods, Columbus",4
"German Village, Columbus",1 4
Goodale Park,1 4
"Greenlawn, Columbus",4
Highbanks Metro Park,4
"Highway 315, Columbus",4
"Hocking Hills - Conkles Hollow, Ohio",0
"Hocking Hills, Ohio",0
"I-71 near Cincinnati, Ohio",0
"Inniswood Metro Gardens, Columbus",4
Magee Marsh,0
"Magee Marsh, Ohio",0
"Maumee Bay State Park, Ohio",0
"Metzger Marsh, Ohio",0
Miranova,1 2 4
"N Vance St, Carey",0
"North Bank Park, Columbus",1 4
"Oak Openings Metro Park, Ohio",0
"Ohio Highway 2, Ohio",0
"Ohio State University wetlands, Columbus",1 4
"Olentangy River near Ohio State, Columbus",1 4
"Olentangy River, Columbus",1 4
"Olentangy Trail, Columbus",1 4
"Olentangy near OSU, Columbus",1 4
Olentangy River,1 4
Oregon,0
"Park Rd",0
"Pearson Metro Park, Ohio",0
"Pearson Metro Park, north wetlands, Ohio",0
"Pickerington Pond, Columbus",4
"Prairie Oaks Metro Park, Columbus",4
"Schiller Park, Columbus",1 4
Scioto Audubon Metro Park,1 3 4
Scioto Greenways,1 4
"Scioto Greenways, Columbus",1 4
Scioto Loop,1 4
"Scioto River, Columbus",1 4
Scioto River,1 4
"Scioto River, Miranova",1 4
"Scioto Trail, Columbus",1 4
Scioto and Olentangy rivers,1 4
Sharon Woods Metro Park,4
"Short Street, Columbus",1 4
Slate Run Metro Park,4
"Three Creeks Metro Park, Columbus",4
"US 23 north central, Ohio",0
"US 23, Marion",0
"Walden Pond, Blendon Woods Metro Park",4
"downtown library, Columbus",1 4
"near Olentangy River, Highbanks Metro Park",4
"Scioto Grove Metro Park",0
"Streetsboro KOA",0
"Harrison Lake State Park",0
"Grandview",1 4
